Recency,Frequency,MonetaryValue,groups,SegmentName
195,51,157807.81,2,inactive
64,20,70488.44,3,new
264,26,94117.26,0,departing
83,46,153996.13,2,inactive
187,7,24179.96,0,departing
22,23,64591.46,3,new
183,55,200995.41,2,inactive
118,15,59469.12,3,new
232,18,64834.32,0,departing
54,27,93170.66,1,active
179,8,26479.26,3,new
207,32,116599.19,1,active
258,14,34993.92,0,departing
207,22,85171.59,0,departing
112,3,9129.35,3,new
438,13,49642.05,0,departing
388,11,36163.62,0,departing
221,22,75238.92,0,departing
229,21,67506.97,0,departing
191,20,77795.2,0,departing
257,16,57756.43,0,departing
460,25,87489.23,0,departing
131,24,81577.98,3,new
97,41,149882.5,2,inactive
211,32,120615.28,2,inactive
196,26,94015.73,0,departing
465,20,69052.41,0,departing
46,36,145041.6,2,inactive
1,31,122138.14,1,active
400,18,70859.78,0,departing
495,12,36019.04,0,departing
90,43,172989.68,2,inactive
188,23,78411.86,0,departing
0,259,912294.11,2,inactive
89,26,98923.73,1,active
26,25,101894.79,1,active
178,19,57294.42,3,new
25,26,83209.88,3,new
38,36,115498.73,2,inactive
221,27,100595.55,1,active
270,29,111640.28,0,departing
237,15,54723.62,0,departing
21,39,142601.33,2,inactive
192,23,97203.68,0,departing
0,53,180124.9,2,inactive
197,49,164069.44,2,inactive
75,20,78570.34,3,new
145,25,74936.14,3,new
230,27,103080.38,0,departing
508,14,48048.46,0,departing
209,10,33144.93,0,departing
82,15,52263.9,3,new
47,19,80438.48,3,new
228,26,85555.99,0,departing
144,35,108951.13,2,inactive
2,180,654858.06,2,inactive
194,21,74476.18,0,departing
195,23,83682.16,0,departing
181,48,197736.94,2,inactive
283,24,79224.23,0,departing
208,34,131685.3,2,inactive
263,15,57197.96,0,departing
413,20,67605.07,0,departing
120,32,104370.38,1,active
1,25,74972.52,3,new
30,22,74204.79,3,new
62,41,135042.94,2,inactive
200,48,137955.72,2,inactive
284,26,74634.85,0,departing
141,8,33440.1,3,new
14,40,149798.63,2,inactive
455,41,142874.25,2,inactive
89,38,134259.33,2,inactive
476,15,50218.51,0,departing
183,29,82751.08,1,active
2,46,151570.98,2,inactive
179,26,88804.5,1,active
145,30,113961.15,1,active
392,17,79472.07,0,departing
146,34,120783.07,2,inactive
58,21,83228.19,3,new
39,40,160010.27,2,inactive
39,32,120562.74,1,active
227,26,100306.58,0,departing
111,30,111250.38,1,active
139,30,104561.95999999999,1,active
53,29,118008.27,1,active
274,31,117713.56,0,departing
207,25,88041.26,0,departing
193,19,75754.88,0,departing
488,13,46084.64,0,departing
211,26,78240.84,0,departing
